step,time_s,note,R1,R2,R3,R4,R5,R6,R7,R8
86,9.247,state after change,BBBBBMDBDMDDBDM_,BBBBB_DDDMDDDDM_,BBBBBMDDDDDDDBMD,BBBBB_BDBMBDBBDB,BBBBB_BBBDBBBB_B,BBMMBBBBBDBBBB_B,BBMMMBBBBDBBBBDB,________________
87,9.315,state after change,BBBBBMDBDMDDBDMD,BBBBB_DDDMDDDDM_,BBBBBMDDDDDDDBMD,BBBBB_BDBMBDDBDB,BBMBB_BBBDBBBB_B,BBMMBBBBBDBBBB_B,BBMMMBBBBDBBBBDB,________________
88,9.382,state after change,BBBBBMDBDMDDBDMD,BBBBBDDDDMDDDDM_,BBBBBMDDDDDDDBMD,BBBBB_BDBMBDDBDB,BBMBB_BBB_BBBB_B,BBMMBBBBBDBBBB_B,BBMMMBBBBDBBBBDB,________________
89,9.45,state after change,BBBBBMDBDMDDBDMD,BBBBBDDDDMDDDDM_,BBBBBMDDDDDDDBMD,BBBBB_BDBMDDDBDB,BBBBB_BBB_BBBB_B,BBMMBBBBBDBBBB_B,BBMMMBBBBDBBBBDB,________________
90,9.517,state after change,BBBBBMDBDMDDBDMD,BBBBBDDDDMDDDDM_,BBBBBMDDDDDDDBMD,BBBBB_BDBMDDDBDD,BBBBB_BBB_BBBB_B,BBMMBBBBBDBBBB_B,BMMMMBBBBDBBBBDB,________________
91,9.585,state after change,BBBBBMDBDMDDBDMD,BBBBBDDDDMDDDDMD,BBBBBMDDDDDDDBMD,BBBBB_BDBMDDDBDD,BBBBB_BBB_BBBB_B,BBMMBBBBBDBBBB_B,BBMMMBBBBDBBBBDB,________________
92,9.652,state after change,BBBBBMDBDMDDBDMD,BBBBBDDDDMDDDDMD,BBBBBMDDDDDDDBMD,BBBBB_BDBMDDDBDD,BBMBB_BBB_BBBB_B,BBMMMBBBBDBBBB_B,BBMMMBBBBDBBBDDM,________________
93,9.787,state after change,BBBBBMDBDMDDBDMD,BBBBBDDDDMDDDDMD,BBBBBMDDDDDDDBMD,BBBBB_BDBMDDDBDB,BBMBB_BBB_BBBB_B,BBMMMBBBBDBBBB_B,BBMMMBBBBDBBBDDM,________________
94,9.922,state after change,BBBBBMDBDMDDBDMD,BBBBBDDDDMDDDDMD,BBBBBMDDDDDDDBMD,BBMBB_BDBMDDDBDD,BBMBB_BBB_BBBB_B,BBMMMBBBBDBBBB_B,BBMMMBBBBDBBBDDB,________________
95,9.99,state after change,BBBBBMDBDMDDBDMD,BBBBBDDDDMDDDDM_,BBBBBMDDDDDDDBMD,BBBBB_BDBMDDDBDD,BBMBB_BBB_BBBB_B,BBMMMBBBBDBBBB_B,BBMMMBBBBDBBBDDB,________________
