step,time_s,turned_on_max,turned_on_bright,turned_on_dim,got_brighter,got_dim,turned_off
95,9.99,,,,,,r2c16
96,10.125,r4c6,,r5c6,r4c13(toB) r4c15(toM),r1c13(toD),
97,10.26,,,,r1c13(toB),r5c11(toD),
98,10.327,,,,,,r2c6 r5c6
99,10.395,,,,,r3c14(toD) r5c8(toD) r5c9(toD),
100,10.462,,,,r3c14(toB) r5c9(toB),r6c14(toD),
101,10.53,,,r2c16,,r4c13(toD),
102,10.597,,,r5c6,,r6c6(toD),
103,10.665,,,,,r5c9(toD) r5c12(toD),r5c6
104,10.732,,,,r4c8(toM),r3c14(toD),r2c16
105,10.867,,,,r5c9(toB),r4c7(toD) r4c8(toD),
106,10.935,,,,,r1c13(toD) r5c7(toD) r5c9(toD) r5c13(toD),
107,11.002,,,,r4c11(toB),r5c14(toD),
108,11.07,,,,,r4c9(toD),r1c16
109,11.137,,,,r4c12(toM),r2c5(toD) r4c11(toD) r5c16(toD) r6c9(toD),r3c7
110,11.205,,,,r4c13(toM) r5c16(toB) r6c9(toB),,
111,11.272,,,,r5c13(toB),r4c12(toD),r7c14
112,11.34,,,,,r4c13(toD) r5c13(toD),
113,11.407,,,r1c16,r4c16(toM),,
114,11.542,,,,,,r7c15
115,11.61,,,r7c14,,r4c16(toD) r5c16(toD) r6c9(toD) r6c11(toD) r6c13(toD),
116,11.677,,,,,r6c12(toD) r7c6(toD),r1c16 r2c12 r3c10 r3c12
117,11.745,,,r3c10,,r4c14(toD) r6c8(toD),r6c10
118,11.812,,,,,r6c16(toD),r3c11
119,11.88,,,,,,r3c10
120,11.947,,,,r7c14(toB),,r7c10
121,12.015,,,,,,r3c16
122,12.082,,,,,r7c11(toD),
123,12.15,,,,,r7c8(toD) r7c9(toD) r7c13(toD),
124,12.285,,,r3c16,,r3c1(toD) r4c15(toD),r1c14 r1c15 r2c10 r2c11
125,12.42,,,,r7c13(toB),,
126,12.487,,,,r7c11(toB),r2c1(toD),
127,12.622,,,r2c11 r3c11,r2c1(toB) r6c16(toB),,
128,12.69,,,r2c12,r7c8(toB),,
129,12.757,,,r3c12,,,
130,12.825,,,,,r7c8(toD),
131,12.892,,,r7c15,r7c8(toB),,
132,12.96,,,,r6c14(toB),,
133,13.027,,,,r6c12(toB) r6c13(toB) r7c9(toB),,
134,13.095,,,r7c10,,,
135,13.162,,,r1c14 r2c10 r3c7,r5c16(toB),,
136,13.23,,,r1c16,,,
137,13.297,r5c6 r5c10,r5c15,r6c10 r6c15,r5c9(toB) r5c13(toB) r5c14(toB) r6c8(toB) r6c11(toB),,
138,13.365,,,,r3c14(toB),r6c8(toD),
139,13.432,,,,r6c8(toB) r6c9(toB),r7c14(toD),r1c16
140,13.5,,,,r4c14(toB),r6c8(toD),
141,13.567,,,,r6c8(toB),r4c14(toD),
142,13.635,,,,,r6c8(toD),
143,13.702,,,,r5c7(toB),r3c14(toD) r6c9(toD),
144,13.77,,,,,,r6c15
145,13.837,,,,r5c8(toM),r5c16(toD) r6c11(toD),r3c7 r7c15
146,13.905,,,,,r5c7(toD),
